"SURF"
"SURF"
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
VIDIOC_QUERYMENU: Invalid argument
init done 
opengl support available 
Waiting for Phidget 0 to be attached....Phidget Advanced Servo Controller 1-motor     152622 attached!
Waiting for Phidget 1 to be attached....Phidget Advanced Servo Controller 1-motor     152666 attached!
PhidgetAdvancedServo
Serial Number:     152622
Version:      100
# Motors: 1
PhidgetAdvancedServo
Serial Number:     152666
Version:      100
# Motors: 1
Reading.....
../data/thatObj/hat1.png
../data/thatObj/hat2.png
../data/thatObj/hat3.png
End reading directory in 708.974 ms, of size 3
Can Run, starting program
X,Y,total x, y	332.976	259.871	52752.1	29611.2
X,Y,total x, y	333.964	250.069	53086.1	29861.2
X,Y,total x, y	581.17	245.254	14198.5	7015.7
X,Y,total x, y	325.978	192.296	14524.5	7207.99
X,Y,total x, y	500.965	434.017	53587	30295.3
X,Y,total x, y	295.717	106.716	14820.2	7314.71
X,Y,total x, y	233.021	51.0546	52697.7	30702.2
X,Y,total x, y	459.969	158.838	53157.6	30861
X,Y,total x, y	533.289	417.887	53690.9	31278.9
X,Y,total x, y	504.98	370.159	54195.9	31649.1
X,Y,total x, y	480.071	320.949	54676	31970
X,Y,total x, y	73.4615	303.993	53660.5	30599.3
X,Y,total x, y	250.674	186.575	53911.2	30785.8
X,Y,total x, y	593.643	396.447	55269.6	32366.5
X,Y,total x, y	407.345	244.46	54318.5	31030.3
X,Y,total x, y	520.218	447.007	55789.9	32813.5
X,Y,total x, y	573.805	369.433	56363.7	33182.9
X,Y,total x, y	281.27	236.361	54599.8	31266.6
X,Y,total x, y	66.7925	321.599	54666.6	31588.2
X,Y,total x, y	392.096	179.279	56755.8	33362.2
X,Y,total x, y	360.16	155.989	55026.7	31744.2
X,Y,total x, y	545.372	265.959	57301.1	33628.2
X,Y,total x, y	573.231	465.729	57874.4	34093.9
X,Y,total x, y	335.11	219.395	55361.9	31963.6
X,Y,total x, y	608.266	447.832	58482.6	34541.7
X,Y,total x, y	470.03	226.906	55831.9	32190.5
X,Y,total x, y	582.957	191.768	56414.8	32382.3
X,Y,total x, y	336.867	147.431	56751.7	32529.7
X,Y,total x, y	281.277	160.579	57033	32690.3
X,Y,total x, y	376.738	79.6496	58859.4	34621.4
X,Y,total x, y	393.036	181.318	57426	32871.6
X,Y,total x, y	279.079	189.224	57705.1	33060.9
X,Y,total x, y	575.19	372.536	59434.6	34993.9
X,Y,total x, y	549.758	428.213	59984.3	35422.1
X,Y,total x, y	314.744	256.714	15134.9	7571.42
X,Y,total x, y	621.302	454.279	60605.6	35876.4
X,Y,total x, y	323.384	120.487	58028.5	33181.3
X,Y,total x, y	330.777	72.1147	58359.3	33253.5
X,Y,total x, y	527.228	243.412	61132.8	36119.8
X,Y,total x, y	478.641	320.877	61611.5	36440.7
X,Y,total x, y	431.838	281.406	58791.1	33534.9
X,Y,total x, y	325.608	151.527	59116.7	33686.4
X,Y,total x, y	617.196	403.342	62228.7	36844
X,Y,total x, y	504.738	467.336	62733.4	37311.4
X,Y,total x, y	501.342	436.466	59618.1	34122.9
X,Y,total x, y	321.073	155.082	63054.5	37466.4
X,Y,total x, y	92.0875	216.582	15227	7788
X,Y,total x, y	483.122	318.768	63537.6	37785.2
X,Y,total x, y	285.797	123.875	59903.9	34246.7
X,Y,total x, y	324.365	124.048	15551.4	7912.05
X,Y,total x, y	554.915	434.982	64092.5	38220.2
X,Y,total x, y	465.004	306.666	64557.5	38526.9
X,Y,total x, y	458.533	220.945	60362.4	34467.7
X,Y,total x, y	578.898	412.572	65136.4	38939.4
X,Y,total x, y	487.776	353.969	65624.2	39293.4
X,Y,total x, y	271.58	95.757	60634	34563.4
X,Y,total x, y	540.318	377.819	66164.5	39671.2
X,Y,total x, y	254.664	90.2093	66419.2	39761.4
X,Y,total x, y	596.776	382.065	67016	40143.5
X,Y,total x, y	321.325	122.438	67337.3	40265.9
X,Y,total x, y	400.938	93.4383	61034.9	34656.9
X,Y,total x, y	592.927	405.533	67930.2	40671.5
X,Y,total x, y	78.6259	260.998	68008.8	40932.5
X,Y,total x, y	565.793	235.376	61600.7	34892.2
X,Y,total x, y	96.6811	260.058	61697.4	35152.3
X,Y,total x, y	259.864	61.0789	15811.2	7973.13
X,Y,total x, y	347.296	163.533	62044.7	35315.8
X,Y,total x, y	290.286	253.906	68299.1	41186.4
X,Y,total x, y	69.1222	261.802	62113.8	35577.6
X,Y,total x, y	501.747	400.604	68800.9	41587
X,Y,total x, y	338.047	112.634	62451.8	35690.3
X,Y,total x, y	542.574	446.338	69343.4	42033.3
X,Y,total x, y	318.709	180.546	62770.5	35870.8
X,Y,total x, y	490.911	406.269	63261.5	36277.1
X,Y,total x, y	514.069	393.026	69857.5	42426.4
X,Y,total x, y	472.561	311.084	70330.1	42737.4
X,Y,total x, y	475.872	291.069	70806	43028.5
X,Y,total x, y	441.827	237.034	63703.3	36514.1
X,Y,total x, y	40.7458	306.659	63744	36820.8
X,Y,total x, y	407.828	262.145	64151.9	37082.9
X,Y,total x, y	559.971	255.427	71365.9	43283.9
X,Y,total x, y	543.712	447.343	64695.6	37530.3
X,Y,total x, y	485.025	352.286	71850.9	43636.2
X,Y,total x, y	266.195	253.167	72117.1	43889.4
X,Y,total x, y	498.193	194.426	72615.3	44083.8
X,Y,total x, y	470.211	116.875	16281.4	8090
X,Y,total x, y	342.566	454.008	72957.9	44537.8
X,Y,total x, y	555.391	411.612	65251	37941.9
X,Y,total x, y	347.988	181.702	65598.9	38123.6
X,Y,total x, y	323.108	444.774	73281	44982.6
X,Y,total x, y	265.128	218.566	65864.1	38342.1
X,Y,total x, y	248.902	68.9084	73529.9	45051.5
X,Y,total x, y	585.49	233.535	74115.4	45285
X,Y,total x, y	246.347	258.049	16527.8	8348.05
X,Y,total x, y	317.1	265.494	66181.2	38607.6
X,Y,total x, y	503.889	451.579	66685.1	39059.2
X,Y,total x, y	514.649	439.303	74630.1	45724.3
X,Y,total x, y	383.655	86.6482	75013.7	45811
X,Y,total x, y	306.223	244.437	66991.3	39303.7
X,Y,total x, y	577.697	30.6321	75591.4	45841.6
X,Y,total x, y	408.513	191.293	16936.3	8539.35
X,Y,total x, y	289.097	96.9454	67280.4	39400.6
X,Y,total x, y	221.587	44.7489	67502	39445.4
X,Y,total x, y	73.5824	161.083	75665	46002.7
X,Y,total x, y	271.972	84.4972	67773.9	39529.9
X,Y,total x, y	512.062	435.013	76177.1	46437.7
X,Y,total x, y	320.696	265.853	76497.8	46703.6
X,Y,total x, y	292.727	260.475	68066.7	39790.3
X,Y,total x, y	589.367	419.213	77087.1	47122.8
X,Y,total x, y	394.265	206.135	68460.9	39996.5
X,Y,total x, y	449.988	212.307	68910.9	40208.8
X,Y,total x, y	69.3996	298.09	68980.3	40506.9
X,Y,total x, y	258.204	154.247	77345.3	47277
X,Y,total x, y	552.741	455.323	77898.1	47732.4
X,Y,total x, y	513.284	366.011	78411.3	48098.4
X,Y,total x, y	17.3582	362.448	68997.7	40869.3
X,Y,total x, y	488.115	310.127	78899.5	48408.5
X,Y,total x, y	73.7969	255.657	78973.3	48664.1
X,Y,total x, y	610.605	304.51	17546.9	8843.86
X,Y,total x, y	573.335	227.428	79546.6	48891.6
X,Y,total x, y	535.328	440.896	80081.9	49332.5
X,Y,total x, y	530.155	448.924	80612.1	49781.4
X,Y,total x, y	573.464	348.042	69571.1	41217.4
X,Y,total x, y	62.5603	304.5	17609.5	9148.36
X,Y,total x, y	508.534	439.652	70079.7	41657
X,Y,total x, y	533.026	411.81	81145.1	50193.2
X,Y,total x, y	29.7837	306.827	70109.4	41963.8
X,Y,total x, y	588.064	443.845	81733.2	50637
X,Y,total x, y	448.383	271.004	70557.8	42234.8
X,Y,total x, y	75.1651	271.433	70633	42506.3
X,Y,total x, y	623.563	450.884	71256.6	42957.2
X,Y,total x, y	551.871	386.132	82285	51023.2
X,Y,total x, y	415.965	283.62	71672.5	43240.8
X,Y,total x, y	15.7412	301.614	71688.3	43542.4
X,Y,total x, y	396.215	85.3681	82681.2	51108.5
X,Y,total x, y	404.964	193.681	72093.2	43736.1
X,Y,total x, y	395.754	84.8033	83077	51193.4
X,Y,total x, y	606.271	293.926	83683.3	51487.3
X,Y,total x, y	317.543	209.983	72410.8	43946.1
X,Y,total x, y	457.167	159.001	72867.9	44105.1
X,Y,total x, y	584.842	369.22	84268.1	51856.5
X,Y,total x, y	248.741	195.203	73116.7	44300.3
X,Y,total x, y	428.254	215.209	73544.9	44515.5
X,Y,total x, y	487.266	230.259	74032.2	44745.7
X,Y,total x, y	68.6977	293.463	74100.9	45039.2
X,Y,total x, y	443.817	290.058	18053.3	9438.41
X,Y,total x, y	30.104	331.151	84298.2	52187.6
X,Y,total x, y	209.864	78.5561	74310.8	45117.7
X,Y,total x, y	575.09	367.686	84873.3	52555.3
